//U6O MapEdit Full Export V1.23
//house costs
patchx=0; patchy=0; //always 0 so far

housenumber=65535;//Non house tiles
BTset(248,221,1);
BTset(240,222,1);
BTset(241,222,1);
BTset(240,223,1);
BTset(241,223,1);
BTset(236,224,67);
BTset(237,224,1);
BTset(238,224,1);
BTset(234,225,1);
BTset(235,225,1);
BTset(236,225,1);
BTset(237,225,1);
BTset(234,226,65);
BTset(235,226,1);
BTset(235,227,1);
BTset(236,227,66);
BTset(235,228,1);
BTset(236,228,1);
BTset(227,229,67);
BTset(228,229,162);
BTset(229,229,160);
BTset(230,229,160);
BTset(231,229,160);
BTset(232,229,160);
BTset(233,229,168);
BTset(227,230,1);
BTset(228,230,161);
BTset(229,230,208);
BTset(230,230,208);
BTset(231,230,208);
BTset(232,230,208);
BTset(233,230,208);
BTset(227,231,71);
BTset(228,231,202);
BTset(229,231,208);
BTset(230,231,208);
BTset(231,231,208);
BTset(232,231,208);
BTset(233,231,208);
BTset(234,231,94);
BTset(227,232,65);
BTset(228,232,203);
BTset(229,232,208);
BTset(230,232,208);
BTset(231,232,208);
BTset(232,232,208);
BTset(233,232,161);
BTset(234,232,1);
BTset(228,233,161);
BTset(229,233,208);
BTset(230,233,208);
BTset(231,233,208);
BTset(232,233,208);
BTset(233,233,161);
BTset(228,234,169);
BTset(229,234,160);
BTset(230,234,200);
BTset(231,234,201);
BTset(232,234,160);
BTset(233,234,165);
BTset(1024,913,146);
BTset(1025,913,144);
BTset(1026,913,144);
BTset(1027,913,144);
BTset(1028,913,144);
BTset(1029,913,144);
BTset(1030,913,144);
BTset(1031,913,154);
BTset(1032,913,240);
BTset(1033,913,241);
BTset(1034,913,241);
BTset(1035,913,241);
BTset(1036,913,241);
BTset(1037,913,241);
BTset(1038,913,241);
BTset(1039,913,241);
BTset(1040,913,241);
BTset(1041,913,241);
BTset(1042,913,241);
BTset(1043,913,241);
BTset(1044,913,242);
BTset(1050,913,240);
BTset(1051,913,241);
BTset(1052,913,242);
BTset(1024,914,145);
BTset(1025,914,211);
BTset(1026,914,211);
BTset(1027,914,211);
BTset(1028,914,211);
BTset(1029,914,211);
BTset(1030,914,211);
BTset(1031,914,145);
BTset(1032,914,247);
BTset(1033,914,108);
BTset(1034,914,108);
BTset(1035,914,108);
BTset(1036,914,108);
BTset(1037,914,108);
BTset(1038,914,108);
BTset(1039,914,108);
BTset(1040,914,108);
BTset(1041,914,108);
BTset(1042,914,108);
BTset(1043,914,108);
BTset(1044,914,251);
BTset(1045,914,242);
BTset(1049,914,240);
BTset(1050,914,250);
BTset(1051,914,146);
BTset(1052,914,144);
BTset(1053,914,144);
BTset(1054,914,144);
BTset(1055,914,144);
BTset(1056,914,144);
BTset(1057,914,144);
BTset(1058,914,144);
BTset(1059,914,144);
BTset(1060,914,144);
BTset(1061,914,144);
BTset(1062,914,144);
BTset(1063,914,144);
BTset(1064,914,144);
BTset(1065,914,144);
BTset(1066,914,144);
BTset(1067,914,144);
BTset(1068,914,144);
BTset(1069,914,144);
BTset(1070,914,144);
BTset(1071,914,144);
BTset(1072,914,144);
BTset(1073,914,144);
BTset(1074,914,144);
BTset(1075,914,144);
BTset(1076,914,144);
BTset(1077,914,144);
BTset(1078,914,144);
BTset(1079,914,144);
BTset(1080,914,144);
BTset(1081,914,144);
BTset(1082,914,144);
BTset(1083,914,144);
BTset(1084,914,144);
BTset(1085,914,144);
BTset(1086,914,144);
BTset(1087,914,144);
BTset(1088,914,144);
BTset(1089,914,144);
BTset(1090,914,144);
BTset(1091,914,144);
BTset(1092,914,144);
BTset(1093,914,144);
BTset(1094,914,144);
BTset(1095,914,144);
BTset(1096,914,144);
BTset(1097,914,144);
BTset(1098,914,144);
BTset(1099,914,144);
BTset(1100,914,144);
BTset(1101,914,144);
BTset(1102,914,144);
BTset(1103,914,144);
BTset(1104,914,144);
BTset(1105,914,144);
BTset(1106,914,144);
BTset(1107,914,144);
BTset(1108,914,144);
BTset(1109,914,144);
BTset(1110,914,144);
BTset(1111,914,144);
BTset(1112,914,144);
BTset(1113,914,144);
BTset(1114,914,144);
BTset(1115,914,144);
BTset(1116,914,144);
BTset(1117,914,144);
BTset(1118,914,144);
BTset(1119,914,144);
BTset(1120,914,144);
BTset(1121,914,144);
BTset(1122,914,144);
BTset(1123,914,144);
BTset(1124,914,144);
BTset(1125,914,144);
BTset(1126,914,144);
BTset(1127,914,144);
BTset(1128,914,144);
BTset(1129,914,144);
BTset(1130,914,144);
BTset(1131,914,144);
BTset(1132,914,144);
BTset(1133,914,144);
BTset(1134,914,144);
